epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,447.919,0.98347,2.4379,1.11936,0.60137,0.5848,0.58866,0.3959,1.15513,2.29542,1.18354,0.000651515,0.000651515,0.000651515
2,874.753,1.05254,1.043,1.16421,0.26208,0.26316,0.12024,0.05931,2.34297,11.779,2.6033,0.00129208,0.00129208,0.00129208
3,1302.94,1.1269,0.94723,1.20877,0.00167,0.0117,0.00028,9e-05,3.36676,72.2432,3.93808,0.00190625,0.00190625,0.00190625
4,1946.06,1.14881,1.03032,1.20761,0.68902,0.2924,0.36183,0.23012,1.61904,2.79634,1.71869,0.0018812,0.0018812,0.0018812
5,2738.22,1.09284,0.85897,1.15779,0.06004,0.03509,0.00846,0.00465,4.22503,5.69725,4.45026,0.0018416,0.0018416,0.0018416
6,3516.48,1.04722,0.78794,1.1274,0.78818,0.67251,0.73712,0.5024,1.17538,1.32324,1.3212,0.001802,0.001802,0.001802
7,4320.21,1.00452,0.77717,1.11643,0.87543,0.84211,0.90416,0.70837,0.81762,0.80473,1.01598,0.0017624,0.0017624,0.0017624
8,5154.61,0.97556,0.7382,1.08421,0.91625,0.83174,0.9299,0.70269,0.83375,0.7587,1.03416,0.0017228,0.0017228,0.0017228
9,5973.36,0.95978,0.71722,1.09997,0.92397,0.92385,0.95626,0.73257,0.84786,0.62945,1.03826,0.0016832,0.0016832,0.0016832
10,6791.82,0.94691,0.73933,1.08901,0.95527,0.87434,0.95472,0.74463,0.77792,0.6502,0.99594,0.0016436,0.0016436,0.0016436
11,7605.89,0.92603,0.7313,1.08852,0.94513,0.91813,0.96533,0.78143,0.73216,0.56942,0.96239,0.001604,0.001604,0.001604
12,8432.47,0.91979,0.6876,1.08356,0.94419,0.94152,0.96898,0.80984,0.67879,0.54615,0.93762,0.0015644,0.0015644,0.0015644
13,9251.35,0.8563,0.6255,1.03245,0.9742,0.94152,0.97894,0.80555,0.67195,0.52584,0.90943,0.0015248,0.0015248,0.0015248
14,10081.8,0.85352,0.616,1.04039,0.96441,0.92398,0.96821,0.79898,0.66671,0.54534,0.94113,0.0014852,0.0014852,0.0014852
15,10907.8,0.82626,0.59725,1.02927,0.98635,0.91813,0.9688,0.7887,0.73,0.51125,0.95398,0.0014456,0.0014456,0.0014456
16,11725.2,0.81327,0.57053,1.01424,0.98266,0.90643,0.9659,0.80964,0.64756,0.5048,0.90874,0.001406,0.001406,0.001406
17,12544.9,0.82162,0.57044,1.02612,0.96899,0.91364,0.96084,0.79963,0.67278,0.50812,0.93421,0.0013664,0.0013664,0.0013664
18,13373.5,0.76994,0.55796,1.00292,0.98164,0.93787,0.97396,0.83269,0.59884,0.4601,0.90412,0.0013268,0.0013268,0.0013268
19,14189.7,0.7703,0.56105,1.00069,0.9871,0.92982,0.97089,0.82165,0.63071,0.44876,0.90558,0.0012872,0.0012872,0.0012872
20,15009.5,0.76415,0.55124,1.00062,0.9628,0.95906,0.97504,0.84764,0.58182,0.44397,0.88962,0.0012476,0.0012476,0.0012476
21,15839.1,0.75119,0.55523,0.99245,0.95469,0.94737,0.97411,0.85597,0.54582,0.42254,0.89226,0.001208,0.001208,0.001208
22,16701.3,0.7321,0.5458,0.98724,0.9789,0.91813,0.95439,0.82268,0.57954,0.46933,0.89591,0.0011684,0.0011684,0.0011684
23,17530.6,0.76151,0.55979,1.0009,0.94517,0.93567,0.97596,0.81114,0.64495,0.45916,0.90588,0.0011288,0.0011288,0.0011288
24,18349.2,0.75103,0.5391,1.00422,0.97462,0.96491,0.98161,0.88043,0.49756,0.38125,0.87163,0.0010892,0.0010892,0.0010892
25,19147.8,0.72255,0.51113,0.99218,0.95003,0.92982,0.96028,0.80208,0.61046,0.46531,0.94047,0.0010496,0.0010496,0.0010496
26,19996.7,0.7079,0.48894,0.97911,0.96324,0.94152,0.97957,0.84549,0.56791,0.40141,0.89253,0.00101,0.00101,0.00101
27,20827.4,0.70975,0.48156,0.98364,0.98661,0.94737,0.97364,0.86865,0.49767,0.3786,0.86226,0.0009704,0.0009704,0.0009704
